user,author_login,committer_login
vladimiroltean,184,7902
vladimiroltean,184,7902
vladimiroltean,184,7902
vladimiroltean,184,7902
vladimiroltean,184,7902
vladimiroltean,184,7902
vladimiroltean,184,7902
vivien,73,7902
davem330,1159,7902
pjvuuren,30,7902
pjvuuren,30,7902
pjvuuren,30,7902
pjvuuren,30,7902
pjvuuren,30,7902
pjvuuren,30,7902
pjvuuren,30,7902
pjvuuren,30,7902
pjvuuren,30,7902
pjvuuren,30,7902
pjvuuren,30,7902
pjvuuren,30,7902
pjvuuren,30,7902
davem330,1159,7902
ynezz,25,7902
ynezz,25,7902
ynezz,25,7902
ynezz,25,7902
ynezz,25,7902
ynezz,25,7902
ynezz,25,7902
ynezz,25,7902
ynezz,25,7902
davem330,1159,7902
None,24699,7902
None,24699,7902
None,24699,7902
None,24699,7902
dsharma283,14,7902
None,24699,7902
None,24699,7902
None,24699,7902
None,24699,7902
None,24699,7902
None,24699,7902
davem330,1159,7902
davem330,1159,7902
davem330,1159,7902
fancer,29,400
fancer,29,400
torvalds,2374,3772
lrq-max,33,412
GustavoARSilva,499,412
TaeheeYoo,44,412
None,24699,412
shastah,1,412
hdeller,65,131
hdeller,65,131
hdeller,65,131
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
davem330,1159,7902
None,24699,10749
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
paulgortmaker,32,3
paulgortmaker,32,3
paulgortmaker,32,3
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
ColinIanKing,589,120
alexandrebelloni,292,452
GustavoARSilva,499,158
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
bryantan-vmware,2,1
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
groeck,158,248
None,24699,10749
None,24699,10749
groeck,158,248
None,24699,10749
GustavoARSilva,499,158
groeck,158,248
Anson-Huang,263,201
Anson-Huang,263,201
Anson-Huang,263,201
M-Vaittinen,32,3
hpeter,7,2
hpeter,7,2
teknoraver,53,8
vzapolskiy,36,39
cpackham,45,10
anadav,1,1
dsahern,188,7902
hkallweit,317,7902
hkallweit,317,7902
None,24699,7902
None,24699,7902
None,24699,7902
None,24699,7902
jmberg,171,7902
None,24699,7902
davem330,1159,7902
None,24699,7902
None,24699,7902
None,24699,7902
None,24699,7902
None,24699,160
chleroy,258,7902
None,24699,7902
None,24699,7902
None,24699,7902
jprvita,3,160
Minecrell,29,160
None,24699,7902
davem330,1159,7902
ColinIanKing,589,7902
None,24699,7902
teknoraver,53,7902
pebolle,2,7902
torvalds,2374,3772
None,24699,672
vatsalanarang,30,672
joaoseckler,2,672
None,24699,672
masneyb,79,672
None,24699,672
olsajiri,283,280
richardweinberger,26,162
coxuintel,12,12
hkallweit,317,7902
ColinIanKing,589,7902
davem330,1159,7902
dsahern,188,7902
dsahern,188,7902
dsahern,188,7902
williamtu,3,1
None,24699,10749
masahir0y,495,401
None,24699,10749
None,24699,10749
None,24699,10749
yonghong-song,45,23
None,24699,10749
None,24699,595
None,24699,595
GustavoARSilva,499,595
None,24699,595
None,24699,595
None,24699,595
None,24699,595
srgnk,4,595
None,24699,595
None,24699,595
None,24699,595
None,24699,595
None,24699,595
jbrandeb,19,595
jbrandeb,19,595
None,24699,595
None,24699,595
None,24699,595
bwallan,27,595
None,24699,595
None,24699,595
bwallan,27,595
None,24699,595
None,24699,595
None,24699,595
None,24699,595
jbrandeb,19,595
torvalds,2374,3772
None,24699,13
None,24699,13
gabbayo,95,118
gabbayo,95,118
None,24699,1195
None,24699,1195
None,24699,1195
None,24699,1195
None,24699,1195
None,24699,1195
None,24699,1195
pujars,35,421
pujars,35,421
pujars,35,421
pujars,35,421
pujars,35,421
pujars,35,421
None,24699,421
krzk,230,421
krzk,230,421
arnopo,8,421
ickle,928,1279
dsahern,188,7902
chaudron,1,7902
hkallweit,317,7902
davem330,1159,7902
mkubecek,9,7902
mkubecek,9,7902
mkubecek,9,7902
davem330,1159,7902
None,24699,7902
None,24699,7902
idosch,124,7902
None,24699,7902
teknoraver,53,7902
hkallweit,317,7902
hkallweit,317,7902
GustavoARSilva,499,7902
congwang,48,7902
dsahern,188,7902
dsahern,188,7902
davem330,1159,7902
davem330,1159,7902
davem330,1159,7902
sameehj,32,7902
sameehj,32,7902
sameehj,32,7902
sameehj,32,7902
sameehj,32,7902
sameehj,32,7902
sameehj,32,7902
sameehj,32,7902
GustavoARSilva,499,7902
davem330,1159,7902
IronShen,51,7902
IronShen,51,7902
IronShen,51,7902
groeck,158,7902
lunn,79,7902
davem330,1159,7902
lunn,79,7902
lunn,79,7902
haiyangz,20,7902
davem330,1159,7902
torvalds,2374,3772
fancer,29,400
fancer,29,400
danglin44,8,131
None,24699,131
hdeller,65,131
hdeller,65,131
danglin44,8,131
danglin44,8,131
danglin44,8,131
hdeller,65,131
svenschnelle,38,131
svenschnelle,38,131
hdeller,65,131
svenschnelle,38,131
svenschnelle,38,131
svenschnelle,38,131
svenschnelle,38,131
svenschnelle,38,131
svenschnelle,38,131
hdeller,65,131
hdeller,65,131
hdeller,65,131
hdeller,65,131
svenschnelle,38,131
svenschnelle,38,131
svenschnelle,38,131
AlexGhiti,22,131
None,24699,595
sassmann,3,595
None,24699,595
None,24699,595
None,24699,595
None,24699,595
None,24699,595
None,24699,595
None,24699,595
cwyborny,3,595
cwyborny,3,595
rmurphy-arm,84,453
rmurphy-arm,84,453
rmurphy-arm,84,453
rmurphy-arm,84,453
tomeuv,7,453
ikerperezdelpalomar,8,248
ndreys,195,153
ndreys,195,153
ndreys,195,153
ikerperezdelpalomar,8,248
atseanpaul,88,145
pmladek,45,102
pmladek,45,102
torvalds,2374,3772
None,24699,20
hubcapsc,7,20
hubcapsc,7,20
hubcapsc,7,20
None,24699,20
None,24699,20
None,24699,20
None,24699,20
None,24699,20
None,24699,20
None,24699,20
None,24699,20
None,24699,20
None,24699,20
npiggin,124,7
npiggin,124,7
npiggin,124,7
npiggin,124,7
bebarino,238,572
vsyrjala,405,411
Anson-Huang,263,572
vsyrjala,405,411
vsyrjala,405,411
josefbacik,119,767
None,24699,767
paul-walmsley-sifive,48,572
paul-walmsley-sifive,48,572
virtuoso,80,4802
virtuoso,80,4802
virtuoso,80,4802
virtuoso,80,4802
virtuoso,80,4802
virtuoso,80,4802
virtuoso,80,4802
virtuoso,80,4802
virtuoso,80,4802
virtuoso,80,4802
virtuoso,80,4802
virtuoso,80,4802
virtuoso,80,4802
virtuoso,80,4802
virtuoso,80,4802
torvalds,2374,3772
gregkh,569,4802
gregkh,569,4802
gregkh,569,4802
GustavoARSilva,499,572
gregkh,569,4802
torvalds,2374,3772
torvalds,2374,3772
eauger,14,367
LuBaolu,60,367
LuBaolu,60,367
None,24699,367
LuBaolu,60,367
nickdesaulniers,34,17
arndb,686,539
arndb,686,539
arndb,686,539
arndb,686,539
scottmayhew,12,12
seebe,28,3
Anson-Huang,263,201
davem330,1159,7902
vladimiroltean,184,7902
vladimiroltean,184,7902
vladimiroltean,184,7902
vladimiroltean,184,7902
vladimiroltean,184,7902
vladimiroltean,184,7902
vladimiroltean,184,7902
vladimiroltean,184,7902
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
noglitch,21,7902
noglitch,21,7902
None,24699,837
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
paravmellanox,109,1036
paravmellanox,109,1036
paravmellanox,109,1036
paravmellanox,109,1036
paravmellanox,109,1036
paravmellanox,109,1036
paravmellanox,109,1036
masahir0y,495,401
dadap,1,401
masahir0y,495,401
masahir0y,495,401
masahir0y,495,401
masahir0y,495,401
Kamalheib,24,1036
None,24699,160
None,24699,160
paravmellanox,109,1036
None,24699,10749
None,24699,10749
Artemy-Mellanox,5,1036
None,24699,1036
srabinov,10,1036
None,24699,10749
mchehab,361,1879
mchehab,361,1879
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
ickle,928,1279
npiggin,124,7
None,24699,10749
ickle,928,1279
virtuoso,80,39
virtuoso,80,39
ickle,928,1279
ickle,928,1279
wildea01,72,205
None,24699,10749
gregkh,569,4802
ickle,928,1279
hpeter,7,91
hpeter,7,91
hpeter,7,91
hpeter,7,91
jnikula,235,346
jnikula,235,346
jnikula,235,346
jnikula,235,346
jnikula,235,346
jnikula,235,346
jnikula,235,346
jnikula,235,346
jnikula,235,346
jnikula,235,346
jnikula,235,346
jnikula,235,346
jnikula,235,346
linusw,372,856
Mani-Sadhasivam,79,856
Mani-Sadhasivam,79,856
Mani-Sadhasivam,79,856
Mani-Sadhasivam,79,856
None,24699,856
Fabo,24,856
w-simon,89,856
macchian,5,3233
ldts,32,3233
jnikula,235,346
gregkh,569,4802
nathanchance,125,4802
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
sergey-senozhatsky,9,4
None,24699,10749
None,24699,10749
None,24699,10749
andy-shev,382,360
rmurphy-arm,84,6
None,24699,10749
alexandrebelloni,292,452
alexandrebelloni,292,452
alexandrebelloni,292,452
alexandrebelloni,292,452
alexandrebelloni,292,452
jmaselbas,6,6
jmaselbas,6,6
jmaselbas,6,6
jmaselbas,6,6
jmaselbas,6,6
dianders,101,15
dianders,101,15
dianders,101,15
dianders,101,15
xdarklight,123,2
AlanStern,47,22
AlanStern,47,22
arndb,686,539
romain-izard-pro,4,2
romain-izard-pro,4,2
None,24699,10749
None,24699,10749
AxelLin,224,3233
AxelLin,224,3233
AxelLin,224,3233
AxelLin,224,3233
AxelLin,224,3233
AxelLin,224,3233
bardliao,32,3233
RanderWang,13,3233
gby,43,1079
RanderWang,13,3233
None,24699,1079
None,24699,1079
ColinIanKing,589,1079
horiag,32,1079
horiag,32,1079
horiag,32,1079
ldebieve,9,1079
ldebieve,9,1079
ldebieve,9,1079
None,24699,1079
None,24699,1079
chunkeey,33,1079
chunkeey,33,1079
chunkeey,33,1079
chunkeey,33,1079
xiulipan,14,3233
xiulipan,14,3233
xiulipan,14,3233
ranj063,37,3233
keyonjie,55,3233
gregkh,569,91
keyonjie,55,3233
keyonjie,55,3233
keyonjie,55,3233
keyonjie,55,3233
keyonjie,55,3233
plbossart,220,3233
zhuyingjiang,19,3233
zhuyingjiang,19,3233
zhuyingjiang,19,3233
zhuyingjiang,19,3233
keyonjie,55,3233
plbossart,220,3233
plbossart,220,3233
plbossart,220,3233
None,24699,3233
jeromebrunet,195,3233
ColinIanKing,589,3233
jeromebrunet,195,3233
jeromebrunet,195,3233
jeromebrunet,195,3233
None,24699,3233
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
davem330,1159,7902
dianders,101,295
dianders,101,295
dianders,101,295
airlied,298,323
airlied,298,323
None,24699,22
None,24699,22
None,24699,22
None,24699,22
airlied,298,323
axboe,246,1195
None,24699,1195
None,24699,453
None,24699,453
pavelmachek,9,115
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
agx,38,572
phongt,12,153
stbuehler,14,1195
axboe,246,1195
axboe,246,1195
axboe,246,1195
axboe,246,1195
galpress,39,1036
ideak,71,74
None,24699,10749
None,24699,10749
None,24699,10749
Leo-Yan,51,32
Leo-Yan,51,32
None,24699,10749
None,24699,10749
Leo-Yan,51,32
None,24699,10749
None,24699,10749
vimerbf,8,2
chunkeey,33,453
alexandrebelloni,292,121
None,24699,121
alexandrebelloni,292,121
alexandrebelloni,292,121
alexandrebelloni,292,121
alexandrebelloni,292,121
alexandrebelloni,292,121
alexandrebelloni,292,121
alexandrebelloni,292,121
None,24699,121
None,24699,121
None,24699,121
None,24699,121
davidlt,10,121
MesihK,2,121
MesihK,2,121
shirazsaleem,24,1036
fancer,29,400
fancer,29,400
fancer,29,400
fancer,29,400
paulburton,126,400
paulburton,126,400
paulburton,126,400
paulburton,126,400
torvalds,2374,3772
puranjaymohan,30,4802
puranjaymohan,30,4802
puranjaymohan,30,4802
sudipi,1,4802
himadrispandya,32,4802
fancer,29,4802
fancer,29,4802
fancer,29,4802
Leo-Yan,51,4802
Leo-Yan,51,4802
Leo-Yan,51,4802
Leo-Yan,51,4802
torvalds,2374,3772
leitao,6,1021
None,24699,1021
deece,18,1021
deece,18,1021
deece,18,1021
deece,18,1021
deece,18,1021
deece,18,1021
deece,18,1021
anjutsudhakar,11,1021
anjutsudhakar,11,1021
None,24699,1021
anjutsudhakar,11,1021
anjutsudhakar,11,1021
anjutsudhakar,11,1021
anjutsudhakar,11,1021
None,24699,1021
None,24699,1021
None,24699,1021
JoePerches,51,1021
shenki,67,1021
shenki,67,1021
maheshsal,7,1021
cmr-informatik,7,1021
vimerbf,8,1021
valschneider,31,1021
horiag,32,1021
chleroy,258,1021
mpe,86,1021
ruscur,7,1021
jhnikula,29,12
ardbiesheuvel,189,37
None,24699,10749
kimphillamd,12,12
kimphillamd,12,12
None,24699,10749
nathanchance,125,31
ruscur,7,1021
None,24699,1021
ajdlinux,12,1021
npiggin,124,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
torvalds,2374,3772
torvalds,2374,3772
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
vinodkoul,94,4802
vinodkoul,94,4802
vinodkoul,94,4802
vinodkoul,94,4802
vinodkoul,94,4802
vinodkoul,94,4802
vinodkoul,94,4802
vinodkoul,94,4802
vinodkoul,94,4802
vinodkoul,94,4802
vinodkoul,94,4802
vinodkoul,94,4802
vinodkoul,94,4802
plbossart,220,4802
plbossart,220,4802
plbossart,220,4802
plbossart,220,4802
plbossart,220,4802
plbossart,220,4802
plbossart,220,4802
plbossart,220,4802
plbossart,220,4802
plbossart,220,4802
plbossart,220,4802
plbossart,220,4802
plbossart,220,4802
plbossart,220,4802
plbossart,220,4802
plbossart,220,4802
ickle,928,1279
vinodkoul,94,4802
plbossart,220,4802
plbossart,220,4802
GustavoARSilva,499,158
ColinIanKing,589,120
tmlind,227,368
Faiz-Abbas,21,368
Faiz-Abbas,21,368
vo4,5,44
ideak,71,74
ideak,71,74
vsyrjala,405,411
vsyrjala,405,411
None,24699,434
tmlind,227,368
esben,18,7902
GustavoARSilva,499,20
GustavoARSilva,499,20
GustavoARSilva,499,20
None,24699,118
None,24699,10749
None,24699,767
None,24699,767
None,24699,767
None,24699,767
None,24699,767
None,24699,767
None,24699,767
None,24699,767
josefbacik,119,767
chleroy,258,1021
chleroy,258,1021
chleroy,258,1021
None,24699,118
None,24699,595
None,24699,595
None,24699,595
None,24699,595
None,24699,595
None,24699,595
None,24699,595
None,24699,595
None,24699,595
None,24699,595
mfijalko,18,595
None,24699,595
bwallan,27,595
None,24699,595
None,24699,595
jnikula,235,346
StanFox1984,4,346
None,24699,4802
None,24699,4802
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
chleroy,258,1021
sandeen,6,534
None,24699,534
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,3233
djdeath,34,323
djdeath,34,323
hwang4canonical,26,3233
None,24699,7902
broonie,128,3233
broonie,128,3233
AxelLin,224,3233
AxelLin,224,3233
AxelLin,224,3233
TE-N-ShengjiuWang,39,3233
charleskeepax,80,3233
ColinIanKing,589,3233
charleskeepax,80,3233
None,24699,3233
None,24699,3233
None,24699,3233
singalsu,2,3233
None,24699,3233
mcdermj,22,3233
None,24699,3233
None,24699,3233
None,24699,3233
None,24699,3233
None,24699,3233
kengiter,88,3233
kengiter,88,3233
yongzhi1,10,3233
broonie,128,3233
None,24699,3233
None,24699,3233
None,24699,3233
None,24699,3233
arndb,686,3233
None,24699,3233
None,24699,3233
None,24699,3233
ujfalusi,101,3233
None,24699,3233
None,24699,3233
ColinIanKing,589,3233
None,24699,3233
claudiubeznea,47,3233
None,24699,3233
None,24699,3233
flavio-suligoi,6,3233
fancer,29,3233
linusw,372,3233
